 Word,Inappropriate,Part of Speech,Pictionary Category,Source (URL etc.),Sense
eye patch,,noun,object,From the Pictionary Game,
eyebrows,,noun,body part,https://in.pinterest.com/pin/28429041376533862/,
eyeglasses,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fabric,,noun,object,https://www.thegamegal.com/printables/,
face,,noun,body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
facebook,,noun,application,https://partyjoys.com/creative-lists-of-pictionary-words,
family,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
family tree,,noun,-,From the Pictionary Game,
fan,,noun,-,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
fanclub,,noun,-,From the Pictionary Game,
fang,,noun,animal body part,https://www.thegamegal.com/printables/,
farmer,,noun,people,https://partyjoys.com/creative-lists-of-pictionary-words,
farming,,noun,action,From the Pictionary Game,
fast food,,noun,food type,From the Pictionary Game,
fear,,noun,feeling/sensation,From the Pictionary Game,
feather,,noun,bird body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
feet,,noun,body part,From the Pictionary Game,
fence,,noun,object,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
festival,,noun,-,https://partyjoys.com/creative-lists-of-pictionary-words,
finger,,noun,body part,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
finger nail,,noun,body part,From the Pictionary Game,
fingerprints,,noun,-,From the Pictionary Game,
fire,,noun,-,From the Pictionary Game,
fire extinguisher,,noun,object,From the Pictionary Game,
firetruck,,noun,vehicle,https://github.com/googlecreativelab/quickdraw-dataset/blob/master/categories.txt,
